number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
565,Carracosta,https://pokemondb.net/pokedex/carracosta,"Water, Rock",120.0 cm,81.0 kg,,"[{'name': 'Solid Rock', 'desc': 'Powers down supereffective moves.', 'effect': 'Solid Rock reduces the damage taken from super-effective attacks by 25%.', 'url': 'https://pokemondb.net/ability/solid-rock'}, {'name': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'effect': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}]"
566,Archen,https://pokemondb.net/pokedex/archen,"Rock, Flying",50.0 cm,9.5 kg,##0567 - Archeops - https://pokemondb.net/pokedex/archeops,"[{'name': 'Defeatist', 'desc': 'Lowers stats when HP becomes half or less.', 'effect': 'When the HP of a Pokémon with Defeatist falls below 50%, its Attack and Special Attack stats are halved.', 'url': 'https://pokemondb.net/ability/defeatist'}]"
567,Archeops,https://pokemondb.net/pokedex/archeops,"Rock, Flying",140.0 cm,32.0 kg,,"[{'name': 'Defeatist', 'desc': 'Lowers stats when HP becomes half or less.', 'effect': 'When the HP of a Pokémon with Defeatist falls below 50%, its Attack and Special Attack stats are halved.', 'url': 'https://pokemondb.net/ability/defeatist'}]"
568,Trubbish,https://pokemondb.net/pokedex/trubbish,Poison,60.0 cm,31.0 kg,##0569 - Garbodor - https://pokemondb.net/pokedex/garbodor,"[{'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'name': 'Sticky Hold', 'desc': 'Prevents item theft.', 'effect': 'Sticky Hold prevents held items from being taken or switched.', 'url': 'https://pokemondb.net/ability/sticky-hold'}, {'name': 'Aftermath', 'desc': 'Damages the foe landing the finishing hit.', 'effect': 'If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.', 'url': 'https://pokemondb.net/ability/aftermath'}]"
569,Garbodor,https://pokemondb.net/pokedex/garbodor,Poison,190.0 cm,107.3 kg,,"[{'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}, {'name': 'Aftermath', 'desc': 'Damages the foe landing the finishing hit.', 'effect': 'If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.', 'url': 'https://pokemondb.net/ability/aftermath'}]"
570,Zorua,https://pokemondb.net/pokedex/zorua,Dark,70.0 cm,12.5 kg,##0571 - Zoroark - https://pokemondb.net/pokedex/zoroark; ##0571 - Zoroark - https://pokemondb.net/pokedex/zoroark,"[{'name': 'Illusion', 'desc': 'Comes out disguised as the Pokémon in back.', 'effect': ""When a Pokémon with the Illusion ability switches into battle, it takes the form of the Pokémon in last place (6th) of the player's party. Illusion will not activate if the Pokémon in last place is the same species or is fainted."", 'url': 'https://pokemondb.net/ability/illusion'}]"
571,Zoroark,https://pokemondb.net/pokedex/zoroark,Dark,160.0 cm,81.1 kg,##0570 - Zorua - https://pokemondb.net/pokedex/zorua,"[{'name': 'Illusion', 'desc': 'Comes out disguised as the Pokémon in back.', 'effect': ""When a Pokémon with the Illusion ability switches into battle, it takes the form of the Pokémon in last place (6th) of the player's party. Illusion will not activate if the Pokémon in last place is the same species or is fainted."", 'url': 'https://pokemondb.net/ability/illusion'}]"
572,Minccino,https://pokemondb.net/pokedex/minccino,Normal,40.0 cm,5.8 kg,##0573 - Cinccino - https://pokemondb.net/pokedex/cinccino,"[{'name': 'Cute Charm', 'desc': 'Infatuates on contact.', 'effect': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'name': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'effect': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'name': 'Skill Link', 'desc': 'Increases the frequency of multi-strike moves.', 'effect': 'Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.', 'url': 'https://pokemondb.net/ability/skill-link'}]"
573,Cinccino,https://pokemondb.net/pokedex/cinccino,Normal,50.0 cm,7.5 kg,,"[{'name': 'Cute Charm', 'desc': 'Infatuates on contact.', 'effect': 'If a Pokémon with Cute Charm is hit by a move that makes contact, there is a 30% chance the attacker will become infatuated. It will not infatuate Pokémon of the same gender, genderless Pokémon, nor those with the ability Oblivious.', 'url': 'https://pokemondb.net/ability/cute-charm'}, {'name': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'effect': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'name': 'Skill Link', 'desc': 'Increases the frequency of multi-strike moves.', 'effect': 'Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.', 'url': 'https://pokemondb.net/ability/skill-link'}]"
574,Gothita,https://pokemondb.net/pokedex/gothita,Psychic,40.0 cm,5.8 kg,##0575 - Gothorita - https://pokemondb.net/pokedex/gothorita; ##0576 - Gothitelle - https://pokemondb.net/pokedex/gothitelle,"[{'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'name': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'effect': 'Prevents the foe from escaping.\n', 'url': 'https://pokemondb.net/ability/shadow-tag'}]"
575,Gothorita,https://pokemondb.net/pokedex/gothorita,Psychic,70.0 cm,18.0 kg,##0576 - Gothitelle - https://pokemondb.net/pokedex/gothitelle,"[{'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'name': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'effect': 'Prevents the foe from escaping.\n', 'url': 'https://pokemondb.net/ability/shadow-tag'}]"
576,Gothitelle,https://pokemondb.net/pokedex/gothitelle,Psychic,150.0 cm,44.0 kg,,"[{'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}, {'name': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'effect': 'Prevents the foe from escaping.\n', 'url': 'https://pokemondb.net/ability/shadow-tag'}]"
577,Solosis,https://pokemondb.net/pokedex/solosis,Psychic,30.0 cm,1.0 kg,##0578 - Duosion - https://pokemondb.net/pokedex/duosion; ##0579 - Reuniclus - https://pokemondb.net/pokedex/reuniclus,"[{'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}, {'name': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'effect': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]"
578,Duosion,https://pokemondb.net/pokedex/duosion,Psychic,60.0 cm,8.0 kg,##0579 - Reuniclus - https://pokemondb.net/pokedex/reuniclus,"[{'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}, {'name': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'effect': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]"
579,Reuniclus,https://pokemondb.net/pokedex/reuniclus,Psychic,100.0 cm,20.1 kg,,"[{'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}, {'name': 'Magic Guard', 'desc': 'The Pokémon only takes damage from attacks.', 'effect': 'Magic Guard protects the Pokémon from indirect damage, including:', 'url': 'https://pokemondb.net/ability/magic-guard'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]"
580,Ducklett,https://pokemondb.net/pokedex/ducklett,"Water, Flying",50.0 cm,5.5 kg,##0581 - Swanna - https://pokemondb.net/pokedex/swanna,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'effect': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}, {'name': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'effect': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}]"
581,Swanna,https://pokemondb.net/pokedex/swanna,"Water, Flying",130.0 cm,24.2 kg,,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'effect': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}, {'name': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'effect': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}]"
582,Vanillite,https://pokemondb.net/pokedex/vanillite,Ice,40.0 cm,5.7 kg,##0583 - Vanillish - https://pokemondb.net/pokedex/vanillish; ##0584 - Vanilluxe - https://pokemondb.net/pokedex/vanilluxe,"[{'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
583,Vanillish,https://pokemondb.net/pokedex/vanillish,Ice,110.0 cm,41.0 kg,##0584 - Vanilluxe - https://pokemondb.net/pokedex/vanilluxe,"[{'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
584,Vanilluxe,https://pokemondb.net/pokedex/vanilluxe,Ice,130.0 cm,57.5 kg,,"[{'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}, {'name': 'Snow Warning', 'desc': 'The Pokémon summons a hailstorm in battle.', 'effect': 'Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/snow-warning'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
585,Deerling,https://pokemondb.net/pokedex/deerling,"Normal, Grass",60.0 cm,19.5 kg,##0586 - Sawsbuck - https://pokemondb.net/pokedex/sawsbuck,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Sap Sipper', 'desc': 'Boosts Attack when hit by a Grass-type move.', 'effect': 'Boosts Attack when hit by a Grass-type move.\n', 'url': 'https://pokemondb.net/ability/sap-sipper'}, {'name': 'Serene Grace', 'desc': 'Promotes added effects.', 'effect': ""Serene Grace doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items King's Rock and Razor Fang from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance)."", 'url': 'https://pokemondb.net/ability/serene-grace'}]"
